Data,Średnia waga (kg),Największa waga (kg),Najmniejsza waga (kg),Kalorie (kcal),Punkty kardio,Minuty intensywnego treningu,Dolna szerokość geograficzna (w stopniach),Dolna długość geograficzna (w stopniach),Górna szerokość geograficzna (w stopniach),Górna długość geograficzna (w stopniach),Średnie tętno (bpm),Najwyższe tętno (bpm),Najniższe tętno (bpm),Liczba kroków,Odległość (m),Średnia szybkość (m/s),Największa szybkość (m/s),Najmniejsza szybkość (m/s),Liczba minut ruchu,Jazda na rowerze – czas trwania (ms),Brak aktywności – czas trwania (ms),Marsz – czas trwania (ms),Bieg – czas trwania (ms),Badminton – czas trwania (ms),Turystyka piesza – czas trwania (ms),Sen – czas trwania (ms),Pływanie – czas trwania (ms),Inna – czas trwania (ms),Płytki sen – czas trwania (ms),Głęboki sen – czas trwania (ms),Wybudzenie ze snu – czas trwania (ms)
2020-07-01,,,,2102.3006476735077,58.0,55,50.343392,16.1418433,50.4801748,16.2916147,,,,16566,10881.272642314434,3.3486420946117668,33.64400100708008,0.2556925415992737,212,,24668148,9153943,,,,27300000,,,,,
2020-07-02,,,,1829.7915996521713,16.0,16,50.4380414,16.6514219,50.4404215,16.659517,,,,7310,4918.366716809571,6.416828738093251,42.36968231201172,0.2486850470304489,97,,28568779,4086027,86678,,,36480000,,,,,
2020-07-03,,,,2008.8959563020578,76.0,75,52.4008384,16.9083496,52.4554525,16.9562281,,,,13808,10102.76733481884,1.059176293023082,19.286705017089844,0.23285315930843353,139,,37707793,7429953,,,,32400000,,,,,
2020-07-04,,,,1808.3108207028138,20.0,19,52.4026101,16.909516,52.4282723,16.9431734,,,,7342,5805.261256158352,0.588648609405272,23.959293365478516,0.2664356231689453,105,,50723134,3626853,,,,28740000,,,,,
2020-07-05,,,,2084.251712266242,61.0,61,52.4266045,16.9097669,53.0118597,18.6167894,,,,16222,8159.340153455734,5.18329545795707,42.194915771484375,0.07375048100948334,202,,30642849,8249618,253825,,,26700000,,,,,
2020-07-06,,,,1720.6265183919324,25.0,25,52.4253532,16.9096093,52.4273399,16.9185896,,,,5866,3676.2459675073624,0.6838461479995316,3.3885271549224854,0.15124505758285522,67,,45233668,2333417,,,,37320000,,,,,
2020-07-07,,,,1665.9772250176327,11.0,11,52.4262929,16.9095507,52.4272919,16.9123397,,,,3637,2395.4063668251038,0.6151830608163287,3.591970682144165,0.26694250106811523,43,,57528639,1345909,,,,25500000,,,,,
2020-07-08,,,,1624.9594684256533,4.0,4,52.4263094,16.9119158,52.4263094,16.9119158,,,,2028,1374.1160185337067,0.5579096407029183,1.5492676496505737,0.27806511521339417,28,,54848780,632984,,,,29940000,,,,,
2020-07-09,,,,1813.8400636732313,52.0,52,52.4268135,16.910049,52.4380295,16.9277081,,,,9500,6522.745488286018,0.5764957993006156,2.3238396644592285,0.21195226907730103,100,,50724414,3988813,,,,29340000,,,,,
2020-07-10,,,,1611.3905401373333,1.0,1,,,,,,,,1100,727.7648875713348,0.6152087451925783,3.788174867630005,0.2768785357475281,15,,53936453,390766,,,,31740000,,,,,
2020-07-11,,,,1672.4960731001338,47.0,45,52.4263082,16.9094784,52.4273052,16.9119229,,,,12693,3398.4005954265594,0.8171009129177994,17.440046310424805,0.24900533258914948,188,,54159323,1470131,,,,27600000,,,,,
2020-07-12,,,,1779.7945969399157,9.0,8,52.4176302,16.9073026,52.4268228,16.9100585,,,,6263,4372.775790691376,0.5515214487905795,3.1879029273986816,0.294504314661026,88,,50743524,3349444,,,,30840000,,,,,
2020-07-13,,,,2081.7272379265155,54.0,53,52.39954,16.8597959,52.4373278,16.9189375,,,,17841,11125.715556204319,0.689961266320066,4.235352516174316,0.14571915566921234,234,,68188088,8775400,,,,,,,,,
2020-07-14,,,,1708.5376850091013,25.0,21,52.4016497,16.9081838,52.4276522,16.9250613,,,,5143,3800.738796234131,0.546960669462919,2.4561996459960938,0.24859584867954254,56,,64444271,2108840,,,,18660000,,,,,
2020-07-15,,,,1873.6048882849268,47.0,47,52.4011196,16.9092382,52.4276519,16.9257851,,,,10906,7452.112572669983,0.6659400091412877,3.3600754737854004,0.12462183088064194,123,,59536969,5048921,,,,,,,,,
2020-07-16,,,,1629.2398693895827,4.0,4,52.4263124,16.9097732,52.4269914,16.9122108,,,,2684,1787.226661682129,0.5199124797754439,5.701862335205078,0.2558199167251587,40,,59542223,708054,,,,24900000,,,,,
2020-07-17,,,,2086.9152512846263,103.0,100,53.1451544,16.7207269,53.1522846,16.7701332,,,,19486,11978.519989904673,0.8797137027595815,11.135299682617188,0.1528622955083847,209,,64853562,8870317,,,,,,,,,
2020-07-18,,,,1748.2040008624317,7.0,7,53.144402,16.7203682,53.1524496,16.7477284,,,,5344,3571.1287434727833,0.6170049880859596,3.8388776779174805,0.1135137528181076,82,,51750932,2832878,,,,27660000,,,,,
2020-07-19,,,,1633.9424028858778,2.0,2,,,,,,,,4012,2666.3709123134613,1.606815541664225,32.409000396728516,0.27806511521339417,64,,46794286,793337,,,,27000000,,,,,
2020-07-20,,,,1937.1020185702282,69.0,69,53.1465251,16.7192091,53.163776,16.7759859,,,,12288,8570.03630951047,0.7298890299589459,10.57744026184082,0.26694250106811523,144,,48718436,6205000,,,,28440000,,,,,
2020-07-21,,,,1919.8820844661893,49.0,47,52.399644,16.7462888,53.1414604,16.9196758,,,,13585,9311.031833767891,0.5988254221884379,3.48101806640625,0.23669229447841644,176,,44018193,5869889,,,,27060000,,,,,
2020-07-22,,,,1644.3939497443164,4.0,4,,,,,,,,2123,1446.8144001960754,0.6518605808486603,1.8388580083847046,0.2558199167251587,32,149485,56613315,276263,237070,,,28800000,,,,,
2020-07-23,,,,2165.0778839930717,116.0,113,52.4253519,16.9095491,52.4423968,16.9341963,,,,19238,14337.071771532297,0.6842163419189337,14.449429512023926,0.21914896368980408,200,,37863398,10274566,,,,36300000,,,,,
2020-07-24,,,,1675.3172316306627,14.0,13,52.4262887,16.9095975,52.4273878,16.9119273,,,,3544,2475.422515153885,0.4783941235243333,2.6303999423980713,0.2540785074234009,42,,52334068,1518297,,,,31800000,,,,,
2020-07-25,,,,1739.8532507729087,37.0,37,52.4262675,16.909411,52.4603326,16.9244625,,,,7403,3306.5828016996384,1.1544219531356616,18.40570068359375,0.11083102971315384,88,,53550358,2443977,104629,,,27960000,,,,,
2020-07-26,,,,1686.5222193723691,20.0,19,52.4213724,16.9086645,52.4268251,16.912095,,,,4347,3035.5884335041046,0.886573093988809,4.774534225463867,0.0893736407160759,50,,59546797,1731931,,,,24540000,,,,,
2020-07-27,,,,1698.3697476736108,14.0,14,52.4232598,16.9089421,52.4272802,16.918458,,,,4638,2929.5969853401184,1.0249714104360765,2.177215814590454,0.27806511521339417,59,,48516925,1943421,,,,33000000,,,,,
2020-07-28,,,,1880.2175518629178,57.0,56,52.426013,16.9097684,52.4415575,16.9220793,,,,12372,8364.53109407425,0.6897193952304337,4.57883882522583,0.2605370581150055,166,,48912120,4581060,261864,,,26100000,,,,,
2020-07-29,,,,1794.6414818679173,37.0,37,52.4263046,16.9100464,52.4306752,16.9163016,,,,7126,4809.25918674469,1.0021739377810288,16.992353439331055,0.26694250106811523,79,,45410150,3641196,,,,36900000,,,,,
2020-07-30,,,,1958.113087984435,47.0,44,52.4262825,16.909764,52.4642278,16.9230799,,,,12758,9350.601514816284,1.1162336127716548,19.1007080078125,0.2540496587753296,162,,53792809,6575672,,,,23460000,,,,,
2020-07-31,,,,1779.48872529093,38.0,36,52.4267851,16.9092164,52.4376415,16.9213658,,,,7267,5318.591257691383,0.6672404041040457,8.07375717163086,0.26694250106811523,79,,40018279,3376126,,,,34860000,,,,,
2020-08-01,,,,1723.5494972708468,3.0,3,53.1442692,16.74356,53.1592734,16.756814,,,,7471,5070.076350569725,0.5622991490344433,12.803452491760254,0.2495175302028656,129,,55331236,2392904,,,,20700000,,,,,
2020-08-02,,,,1687.072500709038,6.0,6,52.4010495,16.9094085,52.4272638,16.9170812,,,,3699,2543.3271989822388,2.3619429073230167,29.172304153442383,0.3255085349082947,61,,42362836,1738134,,,,35160000,,,,,
2020-08-03,,,,1793.175409893353,28.0,28,52.4270414,16.91793,52.4550688,16.9561979,,,,6864,4455.3493374586105,1.0148536431813147,15.236945152282715,0.26290011405944824,87,,53396552,3615004,,,,26220000,,,,,
2020-08-04,,,,1718.8083929328855,3.0,3,52.426273,16.909639,52.4273121,16.9120844,,,,5500,3550.448815345764,0.7013230402904399,2.987964153289795,0.21830278635025024,86,,47191121,2308270,,,,34260000,,,,,
2020-08-05,,,,2610.553199456244,108.0,107,52.4229099,16.8774324,52.4658611,16.9420009,,,,19852,13817.414004996419,1.1510827436257383,27.383140563964844,0.2518547475337982,277,,40491729,11870095,,,,26880000,3000000,,,,
2020-08-06,,,,1845.5216758657475,27.0,27,52.4265493,16.9097284,52.455075,16.9561037,,,,8659,5944.054971694946,0.8182221079502151,15.450071334838867,0.25580671429634094,131,,54964195,4570211,,,,20700000,,,,,
2020-08-07,,,,2018.9571252793016,48.0,47,52.4010939,16.9096607,52.4551195,16.9619976,,,,12272,8861.688404083252,0.7484275408747915,6.769015789031982,0.14212749898433685,145,,46716091,7647784,,,,27060000,,,,,
2020-08-08,,,,1695.0758913223758,13.0,13,52.426306,16.9100097,52.4267388,16.9119377,,,,3327,2348.25617647171,0.9798426247156743,5.980647563934326,0.26694250106811523,38,,49173307,1869831,,,,34800000,,,,,
2020-08-09,,,,1748.8231031707576,23.0,23,52.408609,16.9096888,52.4267984,16.9240787,,,,5768,4112.566774368286,0.6282289899952179,10.340300559997559,0.2584809958934784,66,,46969423,2844059,,,,34740000,,,,,
2020-08-10,,,,1909.6821749352946,38.0,37,52.4260201,16.9095824,52.4550024,16.9561712,,,,9944,6563.718457221985,0.6520557331384722,2.59124755859375,0.26367852091789246,118,,57883928,5706828,,,,18660000,,,,,
2020-08-11,,,,1781.3115404248238,32.0,32,52.4262941,16.9116129,52.4544727,16.9538012,60.0,60.0,60.0,8788,5936.946409642696,0.6173583254201457,3.980991840362549,0.2779735326766968,108,,52553482,3424004,,,,26700000,,,,,
2020-08-12,,,,2048.842808324952,87.0,79,52.4107778,16.9068184,52.427758,16.9249712,90.0526606457174,156.6522979736328,60.0,11605,5553.837219007313,0.6805636696371012,4.4573445320129395,0.009428560733795166,140,,45469360,4164767,,1863433,,32580000,,,,,
2020-08-13,,,,1903.5035854924113,45.0,41,52.4262508,16.9096847,52.4551626,16.9563725,80.61053917802258,143.22781372070312,60.0,7946,5549.499561011791,0.8126543292733699,12.416956901550293,0.06381820142269135,87,,62935902,5605240,,,,15420000,,,,,
2020-08-14,,,,1674.4603123520544,10.0,10,52.4262667,16.9093726,52.4272669,16.9122076,85.68531934826652,122.24110412597656,60.0,2789,1678.6173963546753,0.5554573993130206,4.713586330413818,0.1867436021566391,32,,52648349,1516618,,,,31200000,,,,,
2020-08-15,,,,2075.375002280243,50.0,49,52.4212271,16.9087131,52.4269073,16.9101369,81.42322780227896,136.83070373535156,60.0,7033,3618.849466383457,0.5979224222084131,5.879350662231445,0.012399663217365742,104,,51488943,2925649,106030,2598098,,27600000,,,,,
2020-08-16,,,,1838.7036388588165,36.0,36,52.4264197,16.9096051,52.427374,16.9199641,87.21424830709961,121.85779571533203,64.51554107666016,6161,2685.0513414666057,0.7242107643053635,10.785114288330078,0.020016387104988098,74,,55210521,1966938,,1171292,,26400000,,,,,
2020-08-17,,,,2166.4866735139553,113.0,99,52.426244,16.9095755,52.4551799,16.9562828,88.90031088909988,139.7960968017578,60.0,14694,11250.498491212726,0.6921412618987307,8.604314804077148,0.0574318990111351,143,,48605279,10153054,,,,25200000,,,,,
2020-08-18,,,,1865.393541624614,60.0,45,52.4271563,16.9137368,52.4551569,16.9552445,102.72984015508365,177.7672576904297,60.0,8316,5811.930870175362,0.6829926611139104,10.356905937194824,0.2558199167251587,97,,65345122,4924942,,,,14880000,,,,,
2020-08-19,,,,1934.040167205144,48.0,48,52.4272568,16.9125155,52.4424022,16.9202773,81.42184218575251,136.21533203125,60.0,7731,4925.996132612228,0.6011429875314196,16.433256149291992,0.028366051614284515,88,,43332392,6150343,,,,34200000,,,,,
2020-08-20,,,,1726.0767642248184,54.0,54,52.4016233,16.9099648,52.4274424,16.9232454,85.93465157612198,132.67782592773438,60.0,12368,3443.3155111670494,0.5595890041400882,1.988764762878418,0.09321711957454681,144,,58565667,2438014,,,,23940000,,,,,
2020-08-21,,,,1952.2945072246716,59.0,59,52.4267613,16.9097697,52.4552801,16.9563982,84.12223468139427,121.44861602783203,61.33951950073242,11213,5238.862091183662,0.5833445666308955,9.923956871032715,0.037671953439712524,117,,47630388,6476200,,,,30420000,,,,,
2020-08-22,,,,1914.83530630258,65.0,64,52.4014407,16.9087286,52.4272799,16.9326256,76.5292885494521,132.17539978027344,60.0,11435,8184.409397423267,0.7903178409847967,8.542816162109375,0.09102073311805725,118,,45187896,5805395,,,,32400000,,,,,
2020-08-23,,,,1944.3162434494586,44.0,44,52.4265312,16.9097338,54.3565997,18.654502,,,,14567,6868.297975003719,4.076525890315512,41.68566131591797,0.26483243703842163,202,,27448585,6142128,83566,,,25800000,,,,,
